iteration,cost
0,195.465623
1,75.834395
2,73.129849
3,72.620637
4,72.289836
5,71.816211
6,71.327239
7,70.683578
8,70.129181
9,69.573175
10,69.040192
11,68.458583
12,67.945829
13,67.432878
14,66.846962
15,66.201203
16,65.502396
17,64.820957
18,64.152071
19,63.411845
20,62.784207
21,62.065668
22,61.464854
23,60.591684
24,59.679776
25,58.641164
26,58.742366
27,58.089794
28,55.852758
29,54.592415
30,53.427336
31,52.339879
32,51.161644
33,50.066289
34,48.937401
35,47.785331
36,46.577941
37,46.470675
38,45.002384
39,43.470536
40,42.221181
41,41.205867
42,40.153282
43,42.011401
44,41.330034
45,38.454624
46,36.919479
47,35.796023
48,35.818966
49,34.202615
50,33.636482
51,32.531481
52,31.496315
53,30.950847
54,30.131545
55,29.512800
56,28.955688
57,28.234893
58,27.794253
59,26.967397
60,26.707242
61,28.080532
62,26.038601
63,25.866505
64,25.576110
65,24.926440
66,24.700914
67,24.176235
68,23.096876
69,22.739282
70,22.334046
71,21.495759
72,20.841474
73,20.327738
74,20.608749
75,20.945799
76,21.730180
77,19.796002
78,18.896148
79,18.561534
80,18.186494
81,17.820853
82,17.419193
83,17.384039
84,17.145462
85,17.088347
86,16.644494
87,16.227185
88,16.322231
89,15.918180
90,16.065028
91,20.703105
92,28.862895
93,19.229876
94,16.601203
95,15.633432
96,15.018967
97,14.846746
98,14.419340
99,14.130983
100,14.068944
101,13.656787
102,13.573503
103,13.771392
104,13.476231
105,13.411219
106,12.850646
107,25.034024
108,22.471102
109,16.064338
110,14.544347
111,13.620836
112,13.291270
113,13.354045
114,12.578315
115,15.880059
116,15.386163
117,13.333063
118,12.845614
119,12.253416
120,12.687126
121,12.297670
122,11.672222
123,11.399727
124,11.086330
125,11.055410
126,12.295807
127,12.393095
128,11.920942
129,11.074421
130,10.556729
131,10.246411
132,9.967260
133,9.755764
134,9.685674
135,9.665138
136,9.896863
137,9.837320
138,9.281567
139,9.038991
140,8.880144
141,8.955120
142,11.026224
143,10.957774
144,9.816327
145,9.412191
146,9.176397
147,8.881110
148,8.769504
149,8.661998
150,9.018347
151,9.724532
152,9.698979
153,8.562440
154,8.191409
155,8.670494
156,9.031622
157,8.823513
158,8.128762
159,7.583338
160,7.507868
161,7.331721
162,7.406412
163,7.258677
164,7.132285
165,6.955708
166,9.409363
167,12.479169
168,10.570671
169,8.408321
170,7.601890
171,7.922445
172,8.153382
173,7.443645
174,6.994953
175,6.809302
176,6.702026
177,7.835277
178,7.310609
179,6.766808
180,27.942519
181,49.078779
182,31.050441
183,25.276672
184,22.353331
185,20.944472
186,18.791354
187,17.186998
188,15.878293
189,14.643810
190,13.833978
191,14.551275
192,13.170041
193,12.474182
194,11.962769
195,11.505998
196,11.083404
197,10.811287
198,10.504327
199,10.337166
