iteration, error_rate
0,1.011734
1,1.012500
2,1.012500
3,1.012500
4,1.012500
5,1.012500
6,1.012500
7,1.012500
8,1.012500
9,1.012500
10,1.012500
11,1.012500
12,1.012500
13,1.012500
14,1.012500
15,1.012500
16,1.012500
17,1.012500
18,1.012500
19,1.012500
20,1.012500
21,1.012500
22,1.012500
23,1.012500
24,1.012500
25,1.012500
26,1.012500
27,1.012500
28,1.012395
29,1.010434
30,1.002224
31,0.996511
32,0.989378
33,0.979982
34,0.972288
35,0.963311
36,0.946664
37,0.928430
38,0.907382
39,0.881866
40,0.850257
41,0.821017
42,0.796692
43,0.785028
44,0.786953
45,0.728484
46,0.693253
47,0.661168
48,0.634344
49,0.617135
50,0.591951
51,0.569314
52,0.549549
53,0.541902
54,0.524384
55,0.513044
56,0.500387
57,0.482247
58,0.476862
59,0.456826
60,0.448698
61,0.453306
62,0.432639
63,0.417300
64,0.407058
65,0.398905
66,0.380954
67,0.359329
68,0.345376
69,0.342952
70,0.328900
71,0.315865
72,0.303936
73,0.296603
74,0.290014
75,0.290964
76,0.294953
77,0.276915
78,0.262441
79,0.256491
80,0.247870
81,0.244819
82,0.236355
83,0.238673
84,0.231815
85,0.233260
86,0.226085
87,0.222867
88,0.217725
89,0.213324
90,0.218311
91,0.253206
92,0.324378
93,0.243067
94,0.224418
95,0.211493
96,0.203183
97,0.200307
98,0.194626
99,0.189779
100,0.187610
101,0.186667
102,0.184123
103,0.183147
104,0.182036
105,0.177995
106,0.173928
107,0.293790
108,0.268936
109,0.204002
110,0.189198
111,0.179127
112,0.174410
113,0.171540
114,0.164479
115,0.209292
116,0.194488
117,0.169155
118,0.162402
119,0.155079
120,0.155145
121,0.153103
122,0.145642
123,0.139051
124,0.136130
125,0.132179
126,0.146530
127,0.143108
128,0.143126
129,0.132212
130,0.124995
131,0.121538
132,0.119104
133,0.114164
134,0.116510
135,0.113768
136,0.115049
137,0.116572
138,0.108388
139,0.107129
140,0.105858
141,0.106120
142,0.124633
143,0.124780
144,0.111317
145,0.111375
146,0.104777
147,0.101077
148,0.101590
149,0.102389
150,0.104791
151,0.109318
152,0.108849
153,0.101323
154,0.094090
155,0.100704
156,0.105402
157,0.099853
158,0.093505
159,0.087858
160,0.087813
161,0.084745
162,0.086382
163,0.081564
164,0.081605
165,0.080528
166,0.106666
167,0.128418
168,0.116508
169,0.096503
170,0.087649
171,0.089702
172,0.093734
173,0.085508
174,0.079149
175,0.077369
176,0.075554
177,0.088574
178,0.083709
179,0.075137
180,0.227737
181,0.477074
182,0.371759
183,0.322668
184,0.290546
185,0.268763
186,0.248667
187,0.224941
188,0.200123
189,0.180603
190,0.166906
191,0.178120
192,0.158122
193,0.146092
194,0.137624
195,0.130762
196,0.127301
197,0.123280
198,0.120599
199,0.119029
